reference,name,description,reason,organisation,notes,entry-date,start-date,end-date
ACC1,In accord with plans & specification,The development hereby permitted must be carried out and completed entirely in accordance with the terms of this permission and the details shown on the approved plans and specifications.,To ensure that the development is carried out in accordance with the application as approved.,	local-authority:DNC,Standard Condition,,,
ADV10A,Non-intermittent illumination,The illumination of the advertisement shall be non-intermittent.,To safeguard the appearance and character of the area in accordance with policy 49 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
ADV12A,Illuminated When Open,The advertisement(s) shall be illuminated only when the premises are open to the public.,To safeguard the appearance and character of the area in accordance with policy 49 of the Doncaster Local Plan.,	local-authority:DNC,Standard Condition,,,
ADVT2,Clean and Tidy Condition,"Any advertisement displayed and any site used for the display of advertisements, shall be maintained in a condition that does not impair the visual amenity of the site.",To accord with Regulation 14 of the Town and Country Planning (Control of Advertisements) (England) Regulations 2007 and for the purposes of visual amenity.,	local-authority:DNC,Standard Condition,,,
ADVT3,Safety,Any structure or hoarding erected or used principally for the purpose of displaying advertisements shall be maintained in a condition that does not endanger the public.,To accord with Regulation 14 of the Town and Country Planning (Control of Advertisements) (England) Regulations 2007 and for the purposes of public safety.,	local-authority:DNC,Standard Condition,,,
ADVT4,Removal if Necessary,"Where an advertisement is required under these Regulations to be removed, the site shall be left in a condition that does not endanger the public or impair visual amenity.",To accord with Regulation 14 of the Town and Country Planning (Control of Advertisements) (England) Regulations 2007 and for the purposes of public safety and visual amenity.,	local-authority:DNC,Standard Condition,,,
ADVT5,Owner's Permission,No advertisement is to be displayed without the permission of the owner of the site or any other person with an interest in the site entitled to grant permission.,To accord with Regulation 14 of the Town and Country Planning (Control of Advertisements) (England) Regulations 2007.,	local-authority:DNC,Standard Condition,,,
ADVT6,Highway Safety,"No advertisement shall be sited or displayed so as to -
(a) endanger persons using any highway, railway, waterway, dock, harbour or aerodrome (civil or military);
(b) obscure, or hinder the ready interpretation of any traffic sign, railway signal or aid to navigation by water or air; or
(c) hinder the operation of any device used for the purpose of security or surveillance or for measuring the speed of any vehicle.",To accord with Regulation 14 of the Town and Country Planning (Control of Advertisements) (England) Regulations 2007.,	local-authority:DNC,Standard Condition,,,
ADVTIA,Standard Time Condition (Advert),This consent shall expire 5 years from the date of this notice.,To accord with Regulation 14 of the Town and Country Planning (Control of Advertisements) (England) Regulations 2007 and for the purposes of amenity and public safety.,	local-authority:DNC,Standard Condition,,,
CDMM,Drainage Major Maintenance,"Prior to the first occupation of the development hereby approved, details of the drainage management and maintenance plan shall be submitted to and approved in
writing by the Local Planning Authority. The drainage system for foul and surface water drainage shall be retained, managed and maintained for the lifetime of the development in accordance with the approved drainage management and maintenance plan.",": 
To ensure the drainage apparatus of the site is adequately maintained for the lifetime of the development and to accord with Para. 169 c) of the NPPF (2021).",	local-authority:DNC,Standard Condition,,,
CON1C,Dev on land affected by contamination,"No development approved by this permission shall be commenced prior to a contaminated land assessment and associated remedial strategy, together with a timetable of works, being accepted and approved by the Local Planning Authority (LPA), unless otherwise approved in writing with the LPA.

a)  The Phase I desktop study, site walkover and initial assessment must be submitted to the LPA for approval.  Potential risks to human health, property (existing or proposed) including buildings, livestock, pets, crops, woodland, service lines and pipes, adjoining ground, groundwater, surface water, ecological systems, archaeological sites and ancient monuments must be considered.  The Phase 1 shall include a full site history, details of a site walkover and initial risk assessment. The Phase 1 shall propose further Phase 2 site investigation and risk assessment works, if appropriate, based on the relevant information discovered during the initial Phase 1 assessment.   

b)  The Phase 2 site investigation and risk assessment, if appropriate, must be approved by the LPA prior to investigations commencing on site. The Phase 2 investigation shall include relevant soil, soil gas, surface and groundwater sampling and shall be carried out by a suitably qualified and accredited consultant/contractor in accordance with a quality assured sampling and analysis methodology and current best practice. All the investigative works and sampling on site, together with the results of analysis, and risk assessment to any receptors shall be submitted to the LPA for approval.  

c)  If as a consequence of the Phase 2 Site investigation a Phase 3 remediation report is required, then this shall be approved by the LPA prior to any remediation commencing on site. The works shall be of such a nature as to render harmless the identified contamination given the proposed end-use of the site and surrounding environment including any controlled waters, the site must not qualify as contaminated land under Part 2A of the Environment Protection Act 1990 in relation to the intended use of the land after remediation.

d)  The approved Phase 3 remediation works shall be carried out in full on site under a quality assurance scheme to demonstrate compliance with the proposed methodology and best practice guidance. The LPA must be given two weeks written notification of commencement of the remediation scheme works. If during the works, contamination is encountered which has not previously been identified, then all associated works shall cease until the additional contamination is fully assessed and an appropriate remediation scheme approved by the LPA.  

e)  Upon completion of the Phase 3 works, a Phase 4 verification report shall be submitted to and approved by the LPA. The verification report shall include details of the remediation works and quality assurance certificates to show that the works have been carried out in full accordance with the approved methodology. Details of any post-remedial sampling and analysis to show the site has reached the required clean-up criteria shall be included in the verification report together with the necessary documentation detailing what waste materials have been removed from the site. The site shall not be brought into use until such time as all verification data has been approved by the LPA.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Doncaster's Local Plan Policy 54 & 55.",	local-authority:DNC,Standard Condition,,,
CON2,Rep unexpected cont on sensitive sites,"Should any unexpected significant contamination be encountered during development, all associated works shall cease and the Local Planning Authority (LPA) be notified in writing immediately. A Phase 3 remediation and Phase 4 verification report shall be submitted to the LPA for approval. The associated works shall not re-commence until the reports have been approved by the LPA.",To secure the satisfactory development of the site in terms of human health and the wider environment and pursuant to guidance set out in the National Planning Policy Framework.,	local-authority:DNC,Standard Condition,,,
CON2B,Rep unexpected cont on sensitive sites,"Should any unexpected significant contamination be encountered during development, all associated works shall cease and the Local Planning Authority (LPA) be notified in writing immediately. A Phase 3 remediation and Phase 4 verification report shall be submitted to the LPA for approval. The associated works shall not re-commence until the reports have been approved by the LPA.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Doncaster's Local Plan Policy 54 & 55.",	local-authority:DNC,Standard Condition,,,
CON3,Material imported onto sensitive sites,"Any soil or soil forming materials brought to site for use in garden areas, soft landscaping, filing and level raising shall be tested for contamination and suitability for use on site. Proposals for contamination testing including testing schedules, sampling frequencies and allowable contaminant concentrations (as determined by appropriate risk assessment) and source material information shall be submitted to and be approved in writing by the LPA prior to any soil or soil forming materials being brought onto site. The approved contamination testing shall then be carried out and verification evidence submitted to and approved in writing by the LPA prior to any soil and soil forming material being brought on to site.",To secure the satisfactory development of the site in terms of human health and the wider environment and pursuant to guidance set out in the National Planning Policy Framework.,	local-authority:DNC,Standard Condition,,,
CON3B,Material imported onto sensitive sites,"Any soil or soil forming materials brought to site for use in garden areas, soft landscaping, filing and level raising shall be tested for contamination and suitability for use on site. Proposals for contamination testing including testing schedules, sampling frequencies and allowable contaminant concentrations (as determined by appropriate risk assessment) and source material information shall be submitted to and be approved in writing by the LPA prior to any soil or soil forming materials being brought onto site. The approved contamination testing shall then be carried out and verification evidence submitted to and approved in writing by the LPA prior to any soil and soil forming material being brought on to site.","To secure the satisfactory development of the site in terms of human health and the wider environment, in accordance with the National Planning Policy Framework and Doncaster's Local Plan Policy 54 & 55.",	local-authority:DNC,Standard Condition,,,
CRET,No conds/directs Applied to Decision,No Conditions/Directives Have been Applied To this Decision.,,	local-authority:DNC,Standard Condition,,,
